ind_variables,p,SSE,R2,adj_R2,Cp,AIC,BIC,PRESS
LSTAT + INDUS + TAX + NOX + ZN,5,77.13410327530421,0.6773344074979359,0.6708027153420237,50.76907296396223,-9.153182172874267,12.047154759490851,15.55655230672402
LSTAT + INDUS + TAX + AGE + PTRATIO,5,73.83569584735586,0.7162103092833824,0.7104655787020743,38.24968602701625,-38.48740414116139,-17.287067208796273,14.134793974451929
LSTAT + INDUS + TAX + AGE + RAD,5,76.30428013797625,0.6887635954078384,0.6824632633310739,47.61940841451593,-18.4355461974626,2.764790734902519,15.190069602398605
LSTAT + INDUS + TAX + AGE + DIS,5,75.51761493918764,0.6931325349274436,0.6869206429219263,44.633553504654174,-21.502191688723087,-0.30185475635796877,15.03718726242196
LSTAT + INDUS + TAX + AGE + B,5,76.23645771883962,0.6908258439223978,0.6845672577669807,47.36198263352338,-20.314611181379917,0.8857257509852019,14.945250546273666
LSTAT + INDUS + TAX + AGE + ZN,5,75.51300604291097,0.6907912132451602,0.6845319260638881,44.61606004543171,-19.11151505122325,2.088821881141868,15.054302591132025
LSTAT + INDUS + TAX + PTRATIO + RAD,5,73.78385512006996,0.7114475025176956,0.7056063588439647,38.05292012160214,-34.60036798281317,-13.40003105044805,14.25595752918017
LSTAT + INDUS + TAX + PTRATIO + DIS,5,73.31589105650185,0.7184468388591875,0.7127473821559321,36.27672257403634,-39.98643206690542,-18.786095134540304,14.074886100076597
LSTAT + INDUS + TAX + PTRATIO + B,5,74.63125256423018,0.7116144047316193,0.7057766396452148,41.26928945273107,-35.168693401974906,-13.968356469609787,13.987798120869726
LSTAT + INDUS + TAX + PTRATIO + ZN,5,74.56081781764976,0.7061909784480043,0.7002434274044416,41.00194835994358,-30.873549392016002,-9.673212459650884,14.37672096950621
LSTAT + INDUS + TAX + RAD + DIS,5,75.76734286268685,0.6927338741669535,0.6865139121055558,45.58141715447357,-20.979629261729883,0.22070767063523533,15.03188262113349
LSTAT + INDUS + TAX + RAD + B,5,77.30475941545241,0.6845482027514112,0.6781625388394964,51.4168129106946,-14.523201408348541,6.6771355240165775,15.072567458632074
LSTAT + INDUS + TAX + RAD + ZN,5,76.90064872940145,0.6810471707835415,0.6745906357791598,49.88297630786673,-11.492637570788133,9.707699361576985,15.304810252972116
